alpha	AWC	RD_GS	RD_OGS	PD	KC
0.0086	0.0563	0.0070	0.0461	0.7045	0.0137
0.0106	0.0414	0.0066	0.0395	0.6813	0.0132
0.0033	0.0024	0.0030	0.0020	0.9922	0.0035
0.0185	0.0410	0.0079	0.0276	0.3540	0.0335
0.0053	0.0637	0.0065	0.0502	0.7113	0.0060
0.0045	0.0615	0.0059	0.0499	0.6494	0.0044
0.0071	0.0511	0.0059	0.0418	0.5583	0.0088
0.0111	0.0514	0.0063	0.0426	0.5511	0.0161
0.0050	0.0675	0.0062	0.0509	0.6626	0.0053
0.0123	0.0351	0.0053	0.0322	0.3531	0.0167
0.0051	0.0441	0.0054	0.0359	0.4784	0.0053
0.0051	0.0627	0.0067	0.0478	0.7043	0.0058
0.0049	0.0568	0.0063	0.0443	0.6843	0.0051
0.0111	0.0536	0.0080	0.0382	0.5157	0.0188
0.0065	0.0564	0.0064	0.0439	0.6333	0.0076
0.0048	0.0445	0.0064	0.0426	0.7873	0.0054
0.0115	0.0437	0.0056	0.0412	0.3753	0.0167
0.0044	0.0657	0.0052	0.0572	0.7552	0.0049
0.0080	0.0635	0.0050	0.0592	0.7246	0.0117
0.0044	0.0773	0.0049	0.0679	0.7398	0.0050
0.0053	0.0862	0.0051	0.0766	0.6256	0.0055
0.0031	0.0609	0.0043	0.0517	0.8234	0.0030
0.0032	0.0243	0.0040	0.0187	0.9306	0.0034
0.0045	0.0492	0.0054	0.0419	0.7530	0.0043
0.0050	0.0474	0.0046	0.0466	0.7207	0.0042
0.0061	0.0877	0.0052	0.0798	0.6228	0.0073
0.0098	0.0335	0.0051	0.0328	0.3737	0.0122
0.0036	0.0281	0.0043	0.0245	0.9091	0.0036
0.0044	0.0726	0.0051	0.0636	0.7023	0.0040
0.0045	0.0423	0.0052	0.0394	0.6580	0.0039
0.0030	0.0217	0.0039	0.0164	0.9432	0.0032
0.0031	0.0229	0.0042	0.0171	0.9405	0.0034
0.0050	0.0817	0.0048	0.0718	0.7244	0.0069
0.0034	0.0538	0.0047	0.0442	0.8512	0.0038
0.0042	0.0585	0.0052	0.0507	0.7922	0.0046
0.0047	0.0823	0.0072	0.0620	0.6501	0.0049
0.0161	0.0524	0.0072	0.0420	0.4900	0.0295
0.0094	0.0610	0.0060	0.0552	0.6236	0.0123
0.0049	0.0759	0.0065	0.0620	0.7156	0.0059
0.0033	0.0231	0.0042	0.0182	0.9360	0.0034
0.0040	0.0536	0.0052	0.0463	0.8293	0.0043
0.0050	0.0395	0.0065	0.0335	0.8395	0.0064
0.0093	0.0318	0.0061	0.0260	0.4002	0.0132
0.0090	0.0615	0.0055	0.0545	0.5521	0.0167
0.0054	0.0726	0.0067	0.0591	0.6471	0.0064
0.0043	0.0310	0.0052	0.0275	0.8882	0.0042
0.0059	0.0403	0.0061	0.0338	0.5016	0.0058
