alpha	AWC	RD_GS	RD_OGS	PD	KC
0.0129	0.1478	0.0385	0.0414	0.6466	0.0524
0.0086	0.0841	0.0158	0.0343	0.7888	0.0240
0.0051	0.0054	0.0063	0.0040	0.9709	0.0068
0.0280	0.2180	0.0819	0.0322	0.3490	0.0833
0.0077	0.1276	0.0478	0.0243	0.7241	0.0325
0.0069	0.1184	0.0237	0.0416	0.7282	0.0242
0.0122	0.1940	0.0460	0.0545	0.5338	0.0392
0.0141	0.1441	0.0347	0.0423	0.6107	0.0447
0.0084	0.1317	0.0424	0.0290	0.7092	0.0321
0.0170	0.1692	0.0423	0.0446	0.4986	0.0475
0.0121	0.1594	0.0296	0.0530	0.5166	0.0363
0.0082	0.1149	0.0434	0.0220	0.7402	0.0334
0.0075	0.1149	0.0255	0.0376	0.7332	0.0254
0.0186	0.2358	0.0770	0.0439	0.4318	0.0666
0.0097	0.1318	0.0307	0.0406	0.6798	0.0338
0.0057	0.0028	0.0082	0.0058	0.9539	0.0173
0.0163	0.1897	0.0407	0.0567	0.4810	0.0467
0.0067	0.0029	0.0254	0.0192	0.9117	0.0223
0.0078	0.0045	0.0161	0.0060	0.9321	0.0209
0.0077	0.0041	0.0355	0.0193	0.8940	0.0280
0.0061	0.0323	0.0342	0.0030	0.8767	0.0198
0.0071	0.0047	0.0331	0.0191	0.8915	0.0323
0.0082	0.0077	0.0222	0.0071	0.9170	0.0322
0.0060	0.0675	0.0093	0.0346	0.8180	0.0176
0.0038	0.0693	0.0030	0.0571	0.8059	0.0085
0.0074	0.0228	0.0367	0.0041	0.8797	0.0264
0.0152	0.1785	0.0396	0.0525	0.4604	0.0399
0.0059	0.0034	0.0097	0.0064	0.9379	0.0315
0.0044	0.0272	0.0084	0.0099	0.9267	0.0085
0.0042	0.0891	0.0053	0.0613	0.7683	0.0097
0.0084	0.0132	0.0376	0.0107	0.8601	0.0607
0.0080	0.0108	0.0325	0.0107	0.8585	0.0709
0.0086	0.0046	0.0471	0.0266	0.8632	0.0371
0.0070	0.0045	0.0416	0.0293	0.8432	0.0619
0.0066	0.0033	0.0240	0.0189	0.9127	0.0239
0.0069	0.1688	0.0466	0.0433	0.6539	0.0265
0.0213	0.1796	0.0513	0.0414	0.5036	0.0734
0.0096	0.1697	0.0347	0.0563	0.6213	0.0303
0.0065	0.0486	0.0720	0.0047	0.8081	0.0313
0.0069	0.0051	0.0151	0.0067	0.9136	0.0465
0.0069	0.0037	0.0263	0.0185	0.9052	0.0289
0.0072	0.0035	0.0151	0.0076	0.9263	0.0319
0.0198	0.1597	0.0403	0.0410	0.4235	0.0552
0.0097	0.1503	0.0390	0.0375	0.6498	0.0432
0.0067	0.1454	0.0482	0.0308	0.6919	0.0284
0.0063	0.0032	0.0082	0.0064	0.9518	0.0180
0.0096	0.1475	0.0233	0.0583	0.5645	0.0248
