alpha	AWC	RD_GS	RD_OGS	PD	KC
0.0045	0.4414	0.0353	0.2262	0.1954	0.0158
0.0037	0.2420	0.0104	0.1584	0.5246	0.0099
0.0032	0.0025	0.0031	0.0021	0.9913	0.0036
0.0088	0.3877	0.0565	0.1439	0.0469	0.0206
0.0033	0.4015	0.0441	0.1784	0.2987	0.0111
0.0036	0.3561	0.0248	0.1915	0.3297	0.0106
0.0048	0.4275	0.0373	0.2098	0.1471	0.0117
0.0057	0.3663	0.0301	0.1876	0.2392	0.0142
0.0034	0.3921	0.0391	0.1807	0.3012	0.0101
0.0058	0.3591	0.0321	0.1757	0.1460	0.0125
0.0048	0.3786	0.0299	0.1915	0.0952	0.0109
0.0034	0.3772	0.0418	0.1668	0.3383	0.0107
0.0036	0.3588	0.0268	0.1884	0.3312	0.0110
0.0064	0.4702	0.0596	0.1890	0.0578	0.0165
0.0040	0.3771	0.0285	0.1976	0.2821	0.0111
0.0035	0.0076	0.0070	0.0037	0.9608	0.0091
0.0053	0.3977	0.0325	0.2009	0.1292	0.0119
0.0033	0.0091	0.0265	0.0092	0.9226	0.0078
0.0032	0.0346	0.0118	0.0099	0.9153	0.0062
0.0033	0.0186	0.0307	0.0055	0.9109	0.0065
0.0030	0.1532	0.0248	0.0586	0.7035	0.0067
0.0035	0.0071	0.0375	0.0165	0.9039	0.0101
0.0037	0.0069	0.0180	0.0057	0.9484	0.0088
0.0033	0.2727	0.0106	0.1797	0.4595	0.0110
0.0028	0.2058	0.0023	0.1836	0.5273	0.0069
0.0030	0.1470	0.0314	0.0466	0.7105	0.0079
0.0055	0.3387	0.0271	0.1757	0.1372	0.0110
0.0037	0.0025	0.0099	0.0069	0.9567	0.0177
0.0028	0.1104	0.0061	0.0711	0.7788	0.0059
0.0029	0.2331	0.0043	0.1839	0.4892	0.0073
0.0037	0.0170	0.0412	0.0100	0.8866	0.0179
0.0038	0.0169	0.0419	0.0112	0.8739	0.0258
0.0033	0.0173	0.0386	0.0082	0.8978	0.0061
0.0034	0.0113	0.0609	0.0294	0.8374	0.0199
0.0034	0.0042	0.0252	0.0136	0.9292	0.0090
0.0036	0.4370	0.0476	0.1945	0.2364	0.0099
0.0073	0.4340	0.0451	0.1952	0.0954	0.0198
0.0040	0.3759	0.0209	0.2192	0.2785	0.0103
0.0028	0.2226	0.0640	0.0520	0.5690	0.0083
0.0039	0.0045	0.0157	0.0073	0.9372	0.0236
0.0035	0.0039	0.0272	0.0156	0.9245	0.0101
0.0035	0.0147	0.0128	0.0040	0.9329	0.0112
0.0066	0.3377	0.0358	0.1533	0.0613	0.0139
0.0036	0.4057	0.0305	0.2082	0.2541	0.0134
0.0032	0.4088	0.0472	0.1765	0.2898	0.0101
0.0035	0.0029	0.0063	0.0039	0.9748	0.0073
0.0046	0.3221	0.0210	0.1806	0.2039	0.0092
