alpha	AWC	RD_GS	RD_OGS	PD	KC
0.0143	0.4112	0.0258	0.2565	0.1431	0.0376
0.0164	0.3787	0.0178	0.2688	0.1185	0.0311
0.0322	0.0487	0.0372	0.0027	0.0123	0.0917
0.0231	0.2522	0.0355	0.1073	0.0634	0.0517
0.0086	0.4571	0.0332	0.2633	0.1168	0.0222
0.0085	0.4223	0.0218	0.2749	0.0689	0.0165
0.0121	0.3557	0.0268	0.2036	0.0841	0.0239
0.0176	0.3341	0.0259	0.1936	0.0928	0.0372
0.0093	0.4552	0.0335	0.2570	0.0699	0.0222
0.0162	0.2697	0.0219	0.1529	0.0389	0.0304
0.0095	0.2707	0.0169	0.1695	0.0679	0.0159
0.0094	0.4533	0.0351	0.2567	0.1011	0.0240
0.0091	0.4136	0.0227	0.2660	0.1000	0.0174
0.0170	0.3494	0.0389	0.1672	0.0846	0.0415
0.0116	0.3984	0.0253	0.2437	0.0884	0.0247
0.0097	0.3620	0.0176	0.2469	0.2430	0.0422
0.0147	0.3125	0.0209	0.1889	0.0270	0.0290
0.0104	0.4523	0.0546	0.2118	0.1368	0.0539
0.0150	0.4601	0.0246	0.2877	0.0922	0.0503
0.0108	0.5012	0.0629	0.2212	0.0746	0.0562
0.0061	0.5217	0.0285	0.3183	0.0502	0.0206
0.0144	0.4527	0.1262	0.1080	0.0834	0.1138
0.0317	0.3290	0.1398	0.0450	0.1313	0.1994
0.0076	0.3667	0.0122	0.2813	0.1932	0.0121
0.0062	0.4144	0.0053	0.3824	0.0490	0.0070
0.0080	0.5172	0.0345	0.2982	0.0535	0.0308
0.0134	0.2434	0.0178	0.1481	0.0432	0.0223
0.0182	0.2643	0.0552	0.0800	0.2859	0.1849
0.0051	0.4915	0.0104	0.3840	0.0315	0.0097
0.0068	0.3695	0.0083	0.3089	0.0609	0.0082
0.0234	0.3294	0.1856	0.0168	0.0742	0.2733
0.0237	0.3125	0.1775	0.0143	0.0305	0.3528
0.0138	0.4908	0.0867	0.1757	0.0780	0.0811
0.0170	0.4184	0.1630	0.0492	0.0362	0.2318
0.0128	0.4284	0.0696	0.1735	0.1553	0.0719
0.0080	0.4601	0.0351	0.2585	0.0928	0.0170
0.0215	0.3400	0.0294	0.1859	0.0616	0.0522
0.0120	0.4281	0.0217	0.2788	0.0685	0.0237
0.0067	0.5553	0.0574	0.2705	0.0258	0.0286
0.0258	0.2977	0.1093	0.0416	0.0880	0.3290
0.0163	0.4267	0.0975	0.1324	0.1232	0.1086
0.0165	0.4327	0.0422	0.2350	0.1011	0.0907
0.0146	0.2041	0.0188	0.1153	0.0738	0.0270
0.0105	0.4982	0.0228	0.3188	0.0140	0.0336
0.0080	0.5026	0.0337	0.2935	0.0427	0.0211
0.0166	0.3467	0.0296	0.2086	0.2302	0.0715
0.0099	0.2436	0.0163	0.1559	0.0791	0.0136
