alpha	AWC	RD_GS	RD_OGS	PD	KC
0.0292	0.0137	0.0191	0.0029	0.6646	0.1133
0.0319	0.0150	0.0213	0.0027	0.5881	0.0874
0.0103	0.0077	0.0055	0.0041	0.4740	0.0137
0.0457	0.0575	0.0511	0.0032	0.4667	0.1364
0.0196	0.0116	0.0262	0.0044	0.7077	0.0898
0.0166	0.0076	0.0095	0.0026	0.7184	0.0564
0.0306	0.0312	0.0256	0.0032	0.5752	0.0942
0.0313	0.0281	0.0243	0.0032	0.5918	0.0993
0.0219	0.0150	0.0248	0.0033	0.6943	0.0873
0.0364	0.0353	0.0267	0.0034	0.5281	0.0977
0.0239	0.0128	0.0080	0.0035	0.6172	0.0660
0.0207	0.0098	0.0232	0.0047	0.7006	0.0916
0.0179	0.0068	0.0099	0.0027	0.7037	0.0592
0.0325	0.0453	0.0388	0.0033	0.5814	0.1183
0.0240	0.0156	0.0173	0.0026	0.6614	0.0831
0.0125	0.0096	0.0077	0.0115	0.7535	0.0426
0.0398	0.0242	0.0184	0.0032	0.5345	0.1067
0.0166	0.0152	0.0105	0.0270	0.7296	0.0627
0.0301	0.0099	0.0172	0.0351	0.6572	0.0931
0.0231	0.0106	0.0223	0.0409	0.6815	0.1046
0.0241	0.0024	0.0317	0.0262	0.6630	0.0937
0.0160	0.0097	0.0093	0.0183	0.7257	0.0843
0.0208	0.0059	0.0112	0.0104	0.7284	0.1030
0.0148	0.0045	0.0052	0.0027	0.6773	0.0370
0.0144	0.0071	0.0040	0.0034	0.5574	0.0210
0.0249	0.0044	0.0251	0.0317	0.6859	0.0978
0.0383	0.0363	0.0269	0.0033	0.4554	0.0943
0.0104	0.0078	0.0061	0.0061	0.7620	0.0430
0.0234	0.0037	0.0086	0.0075	0.6250	0.0414
0.0150	0.0064	0.0041	0.0032	0.6044	0.0243
0.0152	0.0039	0.0090	0.0100	0.7492	0.1238
0.0130	0.0051	0.0061	0.0084	0.7665	0.1117
0.0249	0.0077	0.0361	0.0530	0.6353	0.1369
0.0119	0.0081	0.0085	0.0214	0.7687	0.1065
0.0148	0.0135	0.0092	0.0210	0.7398	0.0584
0.0188	0.0098	0.0165	0.0028	0.7039	0.0736
0.0353	0.0289	0.0254	0.0032	0.5976	0.1207
0.0319	0.0471	0.0437	0.0029	0.5244	0.0980
0.0174	0.0024	0.0406	0.0306	0.6872	0.1075
0.0118	0.0072	0.0065	0.0061	0.7607	0.0639
0.0146	0.0113	0.0095	0.0192	0.7386	0.0670
0.0144	0.0069	0.0106	0.0135	0.7670	0.0756
0.0355	0.0196	0.0143	0.0031	0.5356	0.0931
0.0241	0.0129	0.0203	0.0034	0.6983	0.0963
0.0177	0.0065	0.0152	0.0036	0.7267	0.0741
0.0145	0.0092	0.0081	0.0111	0.7459	0.0503
0.0255	0.0157	0.0096	0.0036	0.5429	0.0594
