alpha	AWC	RD_GS	RD_OGS	PD	KC
0.0056	0.1855	0.0058	0.1621	0.5069	0.0066
0.0070	0.1660	0.0057	0.1537	0.4752	0.0066
0.0030	0.0040	0.0034	0.0033	0.1757	0.0051
0.0095	0.1281	0.0067	0.1028	0.2397	0.0122
0.0041	0.1952	0.0055	0.1681	0.5141	0.0037
0.0042	0.1918	0.0056	0.1668	0.4325	0.0032
0.0054	0.1563	0.0059	0.1323	0.3995	0.0047
0.0069	0.1494	0.0061	0.1277	0.4025	0.0067
0.0042	0.2020	0.0058	0.1713	0.4549	0.0032
0.0068	0.1375	0.0054	0.1226	0.2466	0.0060
0.0047	0.1404	0.0055	0.1220	0.3179	0.0034
0.0042	0.1975	0.0058	0.1686	0.5010	0.0035
0.0044	0.1854	0.0057	0.1604	0.4748	0.0034
0.0070	0.1683	0.0068	0.1384	0.3445	0.0080
0.0049	0.1821	0.0058	0.1561	0.4432	0.0042
0.0031	0.2886	0.0039	0.2745	0.3874	0.0018
0.0063	0.1607	0.0056	0.1441	0.2543	0.0060
0.0030	0.3137	0.0040	0.2924	0.3348	0.0019
0.0036	0.2968	0.0039	0.2804	0.3725	0.0032
0.0029	0.2945	0.0041	0.2721	0.3805	0.0019
0.0036	0.3531	0.0041	0.3284	0.2578	0.0030
0.0036	0.1801	0.0045	0.1578	0.5670	0.0023
0.0048	0.0808	0.0043	0.0657	0.6604	0.0038
0.0040	0.1561	0.0050	0.1399	0.5849	0.0030
0.0044	0.2069	0.0047	0.1993	0.4437	0.0029
0.0034	0.3409	0.0041	0.3179	0.2849	0.0029
0.0063	0.1214	0.0054	0.1111	0.2544	0.0053
0.0048	0.1201	0.0044	0.1057	0.6064	0.0030
0.0036	0.2914	0.0044	0.2709	0.3580	0.0024
0.0045	0.1335	0.0051	0.1242	0.4534	0.0030
0.0051	0.0579	0.0047	0.0437	0.6234	0.0041
0.0051	0.0614	0.0045	0.0466	0.6258	0.0045
0.0030	0.2890	0.0041	0.2658	0.3864	0.0021
0.0040	0.1669	0.0043	0.1442	0.5662	0.0027
0.0032	0.2722	0.0041	0.2508	0.3994	0.0018
0.0040	0.1770	0.0061	0.1446	0.5075	0.0036
0.0080	0.1818	0.0063	0.1559	0.3284	0.0096
0.0053	0.1937	0.0054	0.1738	0.4337	0.0051
0.0036	0.2973	0.0050	0.2644	0.3839	0.0030
0.0052	0.0670	0.0049	0.0521	0.6403	0.0044
0.0036	0.2197	0.0043	0.1983	0.4686	0.0022
0.0036	0.1892	0.0043	0.1723	0.5974	0.0026
0.0065	0.1102	0.0058	0.0956	0.2656	0.0060
0.0052	0.3236	0.0048	0.3016	0.2297	0.0061
0.0043	0.2511	0.0055	0.2203	0.3871	0.0039
0.0037	0.2167	0.0039	0.2044	0.5117	0.0018
0.0050	0.0972	0.0057	0.0832	0.3558	0.0035
