alpha	AWC	RD_GS	RD_OGS	PD	KC
0.0110	0.0109	0.1173	0.2752	0.0612	0.0568
0.0022	0.0029	0.1122	0.1262	0.5994	0.0065
0.0047	0.0086	0.0090	0.0040	0.9560	0.0069
0.0217	0.0320	0.0523	0.2247	0.0645	0.0471
0.0281	0.0122	0.0669	0.2102	0.0244	0.1547
0.0433	0.0329	0.0435	0.1869	0.1605	0.1486
0.0209	0.0247	0.0915	0.2897	0.1014	0.0700
0.0094	0.0132	0.1117	0.2894	0.1095	0.0283
0.0239	0.0062	0.1013	0.2063	0.0921	0.1008
0.0216	0.0280	0.0773	0.2938	0.0644	0.0478
0.0606	0.0705	0.0082	0.1474	0.2356	0.1399
0.0231	0.0030	0.1254	0.1781	0.0974	0.1086
0.0350	0.0190	0.0683	0.1841	0.1819	0.1167
0.0539	0.0621	0.0180	0.1985	0.0472	0.1632
0.0193	0.0139	0.0993	0.2367	0.1859	0.0611
0.0216	0.0197	0.0223	0.0790	0.5523	0.1254
0.0170	0.0212	0.0953	0.2903	0.0627	0.0419
0.0156	0.0132	0.0744	0.1613	0.1741	0.1156
0.0032	0.0052	0.0671	0.0474	0.6289	0.0088
0.0051	0.0030	0.1065	0.1114	0.2608	0.0530
0.0035	0.0024	0.0992	0.1203	0.3818	0.0218
0.0183	0.0071	0.0483	0.1001	0.2771	0.1878
0.0223	0.0087	0.0892	0.0592	0.2228	0.1831
0.0349	0.0237	0.0457	0.1448	0.4011	0.0981
0.0027	0.0048	0.0174	0.0125	0.9187	0.0066
0.0041	0.0020	0.1039	0.1518	0.2337	0.0332
0.0073	0.0107	0.1077	0.2712	0.1685	0.0203
0.0134	0.0123	0.0033	0.0148	0.7843	0.1188
0.0048	0.0044	0.0352	0.0291	0.8075	0.0073
0.0085	0.0096	0.0357	0.0676	0.7655	0.0156
0.0184	0.0019	0.0289	0.0386	0.3856	0.2745
0.0148	0.0045	0.0097	0.0231	0.5859	0.2324
0.0034	0.0064	0.1169	0.1026	0.2500	0.0487
0.0115	0.0143	0.0131	0.0552	0.5670	0.1829
0.0199	0.0167	0.0479	0.1256	0.2939	0.1450
0.0312	0.0255	0.0597	0.2275	0.0792	0.1314
0.0260	0.0346	0.0510	0.2562	0.0116	0.0820
0.0024	0.0027	0.1099	0.1696	0.4614	0.0105
0.0128	0.0026	0.1026	0.1691	0.0515	0.1282
0.0155	0.0080	0.0047	0.0165	0.7245	0.1701
0.0200	0.0140	0.0427	0.1137	0.3299	0.1811
0.0184	0.0091	0.0607	0.1194	0.3902	0.1440
0.0432	0.0555	0.0212	0.2017	0.0797	0.1014
0.0259	0.0232	0.0412	0.1698	0.2438	0.1156
0.0278	0.0215	0.0411	0.1730	0.1609	0.1459
0.0251	0.0116	0.0499	0.1016	0.4163	0.1280
0.0204	0.0256	0.0922	0.2905	0.1333	0.0504
