alpha	AWC	RD_GS	RD_OGS	PD	KC
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0076	0.0052	0.0326	0.1309	0.5786	0.0098
0.0041	0.0066	0.0765	0.1417	0.6358	0.0150
0.0065	0.0045	0.1238	0.2051	0.4586	0.0299
0.0040	0.0058	0.0956	0.2171	0.5967	0.0122
0.0057	0.0073	0.1243	0.2661	0.4662	0.0152
0.0042	0.0109	0.1714	0.1787	0.4801	0.0195
0.0040	0.0059	0.0616	0.1723	0.5857	0.0084
0.0057	0.0062	0.0387	0.1351	0.6769	0.0127
0.0054	0.0217	0.2420	0.2109	0.3039	0.0315
0.0053	0.0055	0.1292	0.1487	0.5192	0.0201
0.0057	0.0048	0.0325	0.1381	0.6431	0.0131
0.0050	0.0041	0.1769	0.2542	0.4060	0.0177
0.0079	0.1955	0.2010	0.0590	0.3404	0.0305
0.0047	0.0042	0.1191	0.2715	0.4428	0.0114
0.0042	0.1977	0.3845	0.0748	0.0807	0.0114
0.0061	0.2625	0.1355	0.1857	0.1025	0.0071
0.0039	0.1980	0.4210	0.0699	0.0209	0.0066
0.0026	0.0297	0.3857	0.2683	0.0082	0.0050
0.0032	0.3206	0.4014	0.0200	0.0363	0.0198
0.0057	0.3385	0.2270	0.0490	0.1553	0.0199
0.0036	0.0130	0.1081	0.0772	0.6054	0.0163
0.0040	0.0279	0.0059	0.0313	0.4661	0.0038
0.0026	0.0410	0.3911	0.2873	0.0351	0.0060
0.0037	0.0044	0.1111	0.2294	0.5666	0.0092
0.0047	0.3408	0.2060	0.0076	0.1830	0.1022
0.0075	0.1931	0.0856	0.1688	0.1781	0.0081
0.0045	0.0062	0.0698	0.0692	0.7542	0.0047
0.0026	0.3902	0.3657	0.0064	0.0788	0.0525
0.0024	0.3665	0.3714	0.0069	0.0659	0.0927
0.0034	0.1904	0.4646	0.0697	0.0124	0.0055
0.0020	0.3054	0.3719	0.0299	0.1141	0.0751
0.0040	0.2806	0.3547	0.0317	0.1317	0.0179
0.0028	0.0031	0.0232	0.0695	0.8436	0.0084
0.0051	0.0039	0.0689	0.1649	0.6134	0.0102
0.0022	0.0033	0.2906	0.3036	0.2781	0.0051
0.0011	0.0873	0.3025	0.1910	0.2195	0.0158
0.0032	0.3921	0.2962	0.0050	0.0440	0.1124
0.0037	0.2986	0.3790	0.0267	0.1110	0.0219
0.0061	0.2815	0.3053	0.0559	0.1524	0.0335
0.0036	0.0041	0.0445	0.1338	0.6713	0.0080
0.0080	0.0079	0.2272	0.4146	0.0436	0.0545
0.0030	0.0061	0.0313	0.0659	0.7906	0.0092
0.0072	0.2843	0.1389	0.1403	0.2847	0.0121
0.0049	0.0055	0.1205	0.2375	0.5649	0.0099
