Land_ID,Group,Priority,L_ini,L_dev,L_mid,L_late,Kci,Kcm,Kce,RootDepth,CropDepletionFactor,LandFracTS,LandFracTS_Dom,Kc_TS,AddedWaterTS,CropFracFile,PlantDayFile,SeasonLengthFile
Wheat_1,Irrigated,1,0.15,0.25,0.4,0.2,0.4,1.15,0.3,1250,0.55,CDL-US-M_wheat_1_irr_fr,CDL-US-M_wheat_1_irr_dom,CDL-US-M_wheat_1_irr_Kc,CDL-US_IrrCrop1_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop1_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop1_sub1_season_length.nc:season_length,
Wheat_2,Irrigated,2,0.15,0.25,0.4,0.2,0.4,1.15,0.3,1250,0.55,CDL-US-M_wheat_2_irr_fr,CDL-US-M_wheat_2_irr_dom,CDL-US-M_wheat_2_irr_Kc,CDL-US_IrrCrop1_sub2,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop1_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop1_sub2_season_length.nc:season_length,
Maize_1,Irrigated,3,0.17,0.28,0.33,0.22,0.3,1.2,0.4,1000,0.55,CDL-US-M_maize_1_irr_fr,CDL-US-M_maize_1_irr_dom,CDL-US-M_maize_1_irr_Kc,CDL-US_IrrCrop2_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop2_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop2_sub1_season_length.nc:season_length,
Maize_2,Irrigated,4,0.17,0.28,0.33,0.22,0.3,1.2,0.4,1000,0.55,CDL-US-M_maize_2_irr_fr,CDL-US-M_maize_2_irr_dom,CDL-US-M_maize_2_irr_Kc,CDL-US_IrrCrop2_sub2,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop2_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop2_sub2_season_length.nc:season_length,
Rice_1,Irrigated,5,0.17,0.18,0.44,0.21,1.05,1.2,0.75,500,1,CDL-US-M_rice_1_irr_fr,CDL-US-M_rice_1_irr_dom,CDL-US-M_rice_1_irr_Kc,CDL-US-M_rice_1_irr_AddedWater,CDL-US_IrrCrop3_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop3_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop3_sub1_season_length.nc:season_length
Rice_2,Irrigated,6,0.17,0.18,0.44,0.21,1.05,1.2,0.75,500,1,CDL-US-M_rice_2_irr_fr,CDL-US-M_rice_2_irr_dom,CDL-US-M_rice_2_irr_Kc,CDL-US-M_rice_2_irr_AddedWater,CDL-US_IrrCrop3_sub2,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop3_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop3_sub2_season_length.nc:season_length
Rice_3,Irrigated,7,0.17,0.18,0.44,0.21,1.05,1.2,0.75,500,1,CDL-US-M_rice_3_irr_fr,CDL-US-M_rice_3_irr_dom,CDL-US-M_rice_3_irr_Kc,CDL-US-M_rice_3_irr_AddedWater,CDL-US_IrrCrop3_sub3,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop3_sub3_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop3_sub3_season_length.nc:season_length
Barley_1,Irrigated,8,0.15,0.25,0.4,0.2,0.3,1.15,0.25,1000,0.55,CDL-US-M_barley_1_irr_fr,CDL-US-M_barley_1_irr_dom,CDL-US-M_barley_1_irr_Kc,CDL-US_IrrCrop4_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop4_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop4_sub1_season_length.nc:season_length,
Rye_1,Irrigated,9,0.1,0.6,0.2,0.1,0.4,1.15,0.3,1250,0.55,CDL-US-M_rye_1_irr_fr,CDL-US-M_rye_1_irr_dom,CDL-US-M_rye_1_irr_Kc,CDL-US_IrrCrop5_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop5_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop5_sub1_season_length.nc:season_length,
Rye_2,Irrigated,10,0.1,0.6,0.2,0.1,0.4,1.15,0.3,1250,0.55,CDL-US-M_rye_2_irr_fr,CDL-US-M_rye_2_irr_dom,CDL-US-M_rye_2_irr_Kc,CDL-US_IrrCrop5_sub2,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop5_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop5_sub2_season_length.nc:season_length,
