Land_ID,Group,Priority,L_ini,L_dev,L_mid,L_late,Kci,Kcm,Kce,RootDepth,CropDepletionFactor,LandFracTS,LandFracTS_Dom,Kc_TS,AddedWaterTS,CropFracFile,PlantDayFile,SeasonLengthFile
Wheat_1,Irrigated,1,0.15,0.25,0.4,0.2,0.4,1.15,0.3,1250,0.55,MC_wheat_1_irr_fr,MC_wheat_1_irr_dom,MC_wheat_1_irr_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop1_sub1_fraction.nc:crop1_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop1_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop1_sub1_season_length.nc:season_length,
Wheat_2,Irrigated,2,0.15,0.25,0.4,0.2,0.4,1.15,0.3,1250,0.55,MC_wheat_2_irr_fr,MC_wheat_2_irr_dom,MC_wheat_2_irr_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop1_sub2_fraction.nc:crop1_subcrop2_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop1_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop1_sub2_season_length.nc:season_length,
Maize_1,Irrigated,3,0.17,0.28,0.33,0.22,0.3,1.2,0.4,1000,0.55,MC_maize_1_irr_fr,MC_maize_1_irr_dom,MC_maize_1_irr_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop2_sub1_fraction.nc:crop2_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop2_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop2_sub1_season_length.nc:season_length,
Maize_2,Irrigated,4,0.17,0.28,0.33,0.22,0.3,1.2,0.4,1000,0.55,MC_maize_2_irr_fr,MC_maize_2_irr_dom,MC_maize_2_irr_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop2_sub2_fraction.nc:crop2_subcrop2_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop2_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop2_sub2_season_length.nc:season_length,
Rice_1,Irrigated,5,0.17,0.18,0.44,0.21,1.05,1.2,0.75,500,1,MC_rice_1_irr_fr,MC_rice_1_irr_dom,MC_rice_1_irr_Kc,MC_rice_1_irr_AddedWater,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop3_sub1_fraction.nc:crop3_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop3_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop3_sub1_season_length.nc:season_length
Rice_2,Irrigated,6,0.17,0.18,0.44,0.21,1.05,1.2,0.75,500,1,MC_rice_2_irr_fr,MC_rice_2_irr_dom,MC_rice_2_irr_Kc,MC_rice_2_irr_AddedWater,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop3_sub2_fraction.nc:crop3_subcrop2_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop3_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop3_sub2_season_length.nc:season_length
Rice_3,Irrigated,7,0.17,0.18,0.44,0.21,1.05,1.2,0.75,500,1,MC_rice_3_irr_fr,MC_rice_3_irr_dom,MC_rice_3_irr_Kc,MC_rice_3_irr_AddedWater,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop3_sub3_fraction.nc:crop3_subcrop3_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop3_sub3_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop3_sub3_season_length.nc:season_length
Barley_1,Irrigated,8,0.15,0.25,0.4,0.2,0.3,1.15,0.25,1000,0.55,MC_barley_1_irr_fr,MC_barley_1_irr_dom,MC_barley_1_irr_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop4_sub1_fraction.nc:crop4_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop4_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop4_sub1_season_length.nc:season_length,
Rye_1,Irrigated,9,0.1,0.6,0.2,0.1,0.4,1.15,0.3,1250,0.55,MC_rye_1_irr_fr,MC_rye_1_irr_dom,MC_rye_1_irr_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop5_sub1_fraction.nc:crop5_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop5_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop5_sub1_season_length.nc:season_length,
Rye_2,Irrigated,10,0.1,0.6,0.2,0.1,0.4,1.15,0.3,1250,0.55,MC_rye_2_irr_fr,MC_rye_2_irr_dom,MC_rye_2_irr_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/IrrCrop_fraction/IrrCrop5_sub2_fraction.nc:crop5_subcrop2_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop5_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop5_sub2_season_length.nc:season_length,
