Code_Name	Data_Cube	Project	Time_Series	Start_Date	End_Date	Legend_File	Legend_Img	Name	Param_Name	Var_Name	Units	Var_Scale	Var_Offset	Orig_Units	Bands	Shade_factor	Shade_Default	Processing	Projection	Round	MetadataLink	File_Path	Data_Attrib	Point_Data	Polygon_Aggregation	DownloadLink
US_CDL_soilMoistFrac_d	US_CDL_soilMoistFrac	PCHES	daily	2007-01-01	2022-12-31	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, daily	Fraction	soilMoistFrac	fraction			fraction	366		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/daily/wbm__YEAR_.nc;				
US_CDL_soilMoistFrac_m	US_CDL_soilMoistFrac	PCHES	monthly	2007-01-00	2022-12-00	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, monthly	Fraction	soilMoistFrac	fraction			fraction	12		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/monthly/soilMoistFrac/wbm__YEAR_.nc;				
US_CDL_soilMoistFrac_y	US_CDL_soilMoistFrac	PCHES	yearly	2007-00-00	2022-00-00	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, yearly	Fraction	soilMoistFrac	fraction			fraction	1		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/yearly/soilMoistFrac/wbm__YEAR_.nc;				
US_CDL_soilMoistFrac_dc	US_CDL_soilMoistFrac	PCHES	daily_clim	0000-01-01	0000-12-31	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, daily climatology	Fraction	soilMoistFrac	fraction			fraction	365		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoistFrac_dc.nc;				
US_CDL_soilMoistFrac_mc	US_CDL_soilMoistFrac	PCHES	monthly_clim	0000-01-00	0000-12-00	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, monthly climatology	Fraction	soilMoistFrac	fraction			fraction	12		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoistFrac_mc.nc;				
US_CDL_soilMoistFrac_yc	US_CDL_soilMoistFrac	PCHES	yearly_clim	0000-00-00	0000-00-00	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, yearly climatology	Fraction	soilMoistFrac	fraction			fraction	1		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoistFrac_yc.nc;				
US_CDL_soilMoist_d	US_CDL_soilMoist	PCHES	daily	2007-01-01	2022-12-31	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, daily	Soil Moisture	soilMoist	mm			mm	366		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/daily/wbm__YEAR_.nc;				
US_CDL_soilMoist_m	US_CDL_soilMoist	PCHES	monthly	2007-01-00	2022-12-00	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, monthly	Soil Moisture	soilMoist	mm			mm	12		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/monthly/soilMoist/wbm__YEAR_.nc;				
US_CDL_soilMoist_y	US_CDL_soilMoist	PCHES	yearly	2007-00-00	2022-00-00	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, yearly	Soil Moisture	soilMoist	mm			mm	1		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/yearly/soilMoist/wbm__YEAR_.nc;				
US_CDL_soilMoist_dc	US_CDL_soilMoist	PCHES	daily_clim	0000-01-01	0000-12-31	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, daily climatology	Soil Moisture	soilMoist	mm			mm	365		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoist_dc.nc;				
